Run # 1
Initial state: 0 0.123541 0.155445 0.389357 0.528217 0.210601 0.0654322 0.0942105 0.101934 0.660237 0.39927 0.0696147 0.745751 0.745959 0.707871 0.917712 0.783964 0.183752 0.514244 0.661831 0.0287636 0.951063 0.806507 0.491413 0.142476 0.110246 0.852995 0.0873919 0.950489 0.775588 0.862832 0.447265 0.0828622 0.750585 0.755533 0.761024 0.922881 0.804027 0.199393 0.452471 0.680712 0.512183 0.927782 0.781624 0.204776 0.335719 0.865993 0.313851 0.822546 0.059423 0.114728 0.149158 0.687054 0.788608 0.584273 0.704697 0.590781 0.329939 0.994397 0.267908 0.564778 0.121395 0.745666 0.924329 0.190897 0.884396 0.6299 0.960961 0.632805 0.68801 0.478242 0.378137 0.576099 0.560912 0.952343 0.0693881 0.0471927 0.437569 0.0191362 0.279968 0.733647 0.224597 0.26199 0.138856 0.167906 0.267618 0.00239227 0.946515 0.320262 0.373791 0.967561 0.0470357 0.346216 0.300118 0.978932 0.394902 0.811085 0.0557173 0.206222 0.922161 0.555835 0.402274 0.129351 0.493405 0.130194 0.510429 0.693206 0.789585 0.568387 0.402566 0.121418 0.948185 0.404483 0.949709 0.0376758 0.458964 0.88206 0.231804 0.981666 0.226045 0.504317 0.98928 0.00254069 0.987115 0.216525 0.66764 0.924378 0.0737866 0.18798 0.558884 0.662181 0.211918 0.00234921 0.761188 0.111389 0.27218 0.616613 0.56422 0.536819 0.239737 0.211379 w: 1

t = 0
Improving policy...
PLANNING FROM:
action 10, numVisits=1, meanQ=-11.000000, numObservations: 1
action 60, numVisits=1, meanQ=-11.000000, numObservations: 1
action 58, numVisits=1, meanQ=-11.000000, numObservations: 1
action 30, numVisits=1, meanQ=-11.000000, numObservations: 1
action 41, numVisits=1, meanQ=-11.000000, numObservations: 1
action 32, numVisits=1, meanQ=-11.000000, numObservations: 1
action 53, numVisits=1, meanQ=-11.000000, numObservations: 1
action 37, numVisits=1, meanQ=-11.000000, numObservations: 1
action 47, numVisits=1, meanQ=-11.000000, numObservations: 1
action 45, numVisits=1, meanQ=-11.000000, numObservations: 1
action 43, numVisits=1, meanQ=-11.000000, numObservations: 1
action: 13
Next state: 1 0.123541 0.155445 0.389357 0.528217 0.210601 0.0654322 0.0942105 0.101934 0.660237 0.39927 0.0696147 0.745751 0.745959 0.707871 0.917712 0.783964 0.183752 0.514244 0.661831 0.0287636 0.951063 0.806507 0.491413 0.142476 0.110246 0.852995 0.0873919 0.950489 0.775588 0.862832 0.447265 0.0828622 0.750585 0.755533 0.761024 0.922881 0.804027 0.199393 0.452471 0.680712 0.512183 0.927782 0.781624 0.204776 0.335719 0.865993 0.313851 0.822546 0.059423 0.114728 0.149158 0.687054 0.788608 0.584273 0.704697 0.590781 0.329939 0.994397 0.267908 0.564778 0.121395 0.745666 0.924329 0.190897 0.884396 0.6299 0.960961 0.632805 0.68801 0.478242 0.378137 0.576099 0.560912 0.952343 0.0693881 0.0471927 0.437569 0.0191362 0.279968 0.733647 0.224597 0.26199 0.138856 0.167906 0.267618 0.00239227 0.946515 0.320262 0.373791 0.967561 0.0470357 0.346216 0.300118 0.978932 0.394902 0.811085 0.0557173 0.206222 0.922161 0.555835 0.402274 0.129351 0.493405 0.130194 0.510429 0.693206 0.789585 0.568387 0.402566 0.121418 0.948185 0.404483 0.949709 0.0376758 0.458964 0.88206 0.231804 0.981666 0.226045 0.504317 0.98928 0.00254069 0.987115 0.216525 0.66764 0.924378 0.0737866 0.18798 0.558884 0.662181 0.211918 0.00234921 0.761188 0.111389 0.27218 0.616613 0.56422 0.536819 0.239737 0.211379 w: 1
Observation: 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Immediate reward: 24
Terminal state reached!
Updated belief
Run finished 
Discounted reward: 19.76
Run # 2
