Run # 1
Initial state: 0 0.170626 0.568624 0.829633 0.156267 0.320053 0.0364532 0.897189 0.809707 0.504212 0.550694 0.663148 0.622054 0.869846 0.641975 0.847136 0.538557 0.0500867 0.611704 0.0779764 0.864001 9.50309e-05 0.968729 0.401623 0.752827 0.353689 0.256818 0.454379 0.407172 0.156055 0.0304456 0.0301483 0.201593 0.618971 0.571072 0.851543 0.463028 0.3844 0.739152 0.585244 0.89731 0.352092 0.58962 0.261385 0.966842 0.543139 0.438155 0.456446 0.899647 0.846837 0.0233136 0.604566 0.773918 0.587721 0.563771 0.961284 0.0359248 0.175064 0.0392282 0.803493 0.315122 0.580957 0.961637 0.629819 0.040218 0.546647 0.870606 0.224824 0.808278 0.902357 0.640729 0.761163 0.170486 0.544086 0.825734 0.0676125 0.923722 0.760043 0.903646 0.334749 0.400021 0.140588 0.562873 0.517218 0.833538 0.832515 0.772612 0.211349 0.240249 0.389432 0.922484 0.474501 0.289302 0.392958 0.0721974 0.374137 0.0497314 0.990906 0.561066 0.530853 0.249507 0.921803 0.724326 0.368192 0.863669 0.348284 0.156096 0.658323 0.849666 0.199928 0.51394 0.248267 0.45974 0.9605 0.553595 0.46309 0.312313 0.0308899 0.0484116 0.593315 0.928463 0.0845131 0.0720992 0.797798 0.104788 0.778795 0.447112 0.856393 0.346516 0.339588 0.379721 0.6352 0.542072 0.22025 0.812138 0.232099 0.636997 0.120208 0.568872 0.672791 0.313378 w: 1

t = 0
Improving policy...
PLANNING FROM:
action 43, numVisits=0, meanQ=-inf, numObservations: 0
action 42, numVisits=0, meanQ=-inf, numObservations: 0
action 41, numVisits=0, meanQ=-inf, numObservations: 0
action 40, numVisits=0, meanQ=-inf, numObservations: 0
action 39, numVisits=0, meanQ=-inf, numObservations: 0
action 38, numVisits=0, meanQ=-inf, numObservations: 0
action 37, numVisits=0, meanQ=-inf, numObservations: 0
action 36, numVisits=0, meanQ=-inf, numObservations: 0
action 62, numVisits=0, meanQ=-inf, numObservations: 0
action 70, numVisits=0, meanQ=-inf, numObservations: 0
action 69, numVisits=0, meanQ=-inf, numObservations: 0
action 68, numVisits=0, meanQ=-inf, numObservations: 0
action 67, numVisits=0, meanQ=-inf, numObservations: 0
action 66, numVisits=0, meanQ=-inf, numObservations: 0
action 65, numVisits=0, meanQ=-inf, numObservations: 0
action 64, numVisits=0, meanQ=-inf, numObservations: 0
action 63, numVisits=0, meanQ=-inf, numObservations: 0
action 35, numVisits=0, meanQ=-inf, numObservations: 0
action 61, numVisits=0, meanQ=-inf, numObservations: 0
action 60, numVisits=0, meanQ=-inf, numObservations: 0
action 59, numVisits=0, meanQ=-inf, numObservations: 0
action 58, numVisits=0, meanQ=-inf, numObservations: 0
action 57, numVisits=0, meanQ=-inf, numObservations: 0
action 56, numVisits=0, meanQ=-inf, numObservations: 0
action 55, numVisits=0, meanQ=-inf, numObservations: 0
action 54, numVisits=0, meanQ=-inf, numObservations: 0
action 8, numVisits=0, meanQ=-inf, numObservations: 0
action 16, numVisits=0, meanQ=-inf, numObservations: 0
action 15, numVisits=0, meanQ=-inf, numObservations: 0
action 14, numVisits=0, meanQ=-inf, numObservations: 0
action 13, numVisits=0, meanQ=-inf, numObservations: 0
action 12, numVisits=0, meanQ=-inf, numObservations: 0
action 11, numVisits=0, meanQ=-inf, numObservations: 0
action 10, numVisits=0, meanQ=-inf, numObservations: 0
action 9, numVisits=0, meanQ=-inf, numObservations: 0
action 17, numVisits=0, meanQ=-inf, numObservations: 0
action 7, numVisits=0, meanQ=-inf, numObservations: 0
action 6, numVisits=0, meanQ=-inf, numObservations: 0
action 5, numVisits=0, meanQ=-inf, numObservations: 0
action 4, numVisits=0, meanQ=-inf, numObservations: 0
action 3, numVisits=0, meanQ=-inf, numObservations: 0
action 2, numVisits=0, meanQ=-inf, numObservations: 0
action 1, numVisits=0, meanQ=-inf, numObservations: 0
action 0, numVisits=0, meanQ=-inf, numObservations: 0
action 26, numVisits=0, meanQ=-inf, numObservations: 0
action 34, numVisits=0, meanQ=-inf, numObservations: 0
action 33, numVisits=0, meanQ=-inf, numObservations: 0
action 32, numVisits=0, meanQ=-inf, numObservations: 0
action 31, numVisits=0, meanQ=-inf, numObservations: 0
action 30, numVisits=0, meanQ=-inf, numObservations: 0
action 29, numVisits=0, meanQ=-inf, numObservations: 0
action 28, numVisits=0, meanQ=-inf, numObservations: 0
action 27, numVisits=0, meanQ=-inf, numObservations: 0
action -1, numVisits=0, meanQ=-inf, numObservations: 0
action 25, numVisits=0, meanQ=-inf, numObservations: 0
action 24, numVisits=0, meanQ=-inf, numObservations: 0
action 23, numVisits=0, meanQ=-inf, numObservations: 0
action 22, numVisits=0, meanQ=-inf, numObservations: 0
action 21, numVisits=0, meanQ=-inf, numObservations: 0
action 20, numVisits=0, meanQ=-inf, numObservations: 0
action 19, numVisits=0, meanQ=-inf, numObservations: 0
action 18, numVisits=0, meanQ=-inf, numObservations: 0
Sampled 43488 episodes
GETTING ACTION FROM:
action 17, numVisits=43305, meanQ=71.515963, numObservations: 9
action 0, numVisits=1, meanQ=-1.010000, numObservations: 1
action -1, numVisits=1, meanQ=-1.010000, numObservations: 1
action 59, numVisits=1, meanQ=-10.010000, numObservations: 1
action 45, numVisits=1, meanQ=-10.010000, numObservations: 1
action 21, numVisits=1, meanQ=-10.010000, numObservations: 1
action 22, numVisits=1, meanQ=-10.010000, numObservations: 1
action 57, numVisits=1, meanQ=-10.010000, numObservations: 1
action 24, numVisits=1, meanQ=-10.010000, numObservations: 1
action 55, numVisits=1, meanQ=-10.010000, numObservations: 1
action 27, numVisits=1, meanQ=-10.010000, numObservations: 1
action 53, numVisits=1, meanQ=-10.010000, numObservations: 1
action 31, numVisits=1, meanQ=-10.010000, numObservations: 1
action 33, numVisits=1, meanQ=-10.010000, numObservations: 1
action 34, numVisits=1, meanQ=-10.010000, numObservations: 1
action 49, numVisits=1, meanQ=-10.010000, numObservations: 1
action 48, numVisits=1, meanQ=-10.010000, numObservations: 1
action 39, numVisits=1, meanQ=-10.010000, numObservations: 1
action 40, numVisits=1, meanQ=-10.010000, numObservations: 1
action 41, numVisits=1, meanQ=-10.010000, numObservations: 1
action 47, numVisits=1, meanQ=-10.010000, numObservations: 1
action 61, numVisits=1, meanQ=-10.010000, numObservations: 1
action 3, numVisits=1, meanQ=-10.010000, numObservations: 1
action 4, numVisits=1, meanQ=-10.010000, numObservations: 1
action 68, numVisits=1, meanQ=-10.010000, numObservations: 1
action 6, numVisits=1, meanQ=-10.010000, numObservations: 1
action 69, numVisits=1, meanQ=-10.010000, numObservations: 1
action 67, numVisits=1, meanQ=-10.010000, numObservations: 1
action 19, numVisits=1, meanQ=-10.010000, numObservations: 1
action 11, numVisits=1, meanQ=-10.010000, numObservations: 1
action 62, numVisits=1, meanQ=-10.010000, numObservations: 1
action 15, numVisits=1, meanQ=-10.010000, numObservations: 1
action 16, numVisits=1, meanQ=-10.010000, numObservations: 1
action 12, numVisits=32, meanQ=-14.406563, numObservations: 7
action 44, numVisits=18, meanQ=-29.944444, numObservations: 4
action 26, numVisits=10, meanQ=-57.873970, numObservations: 3
action 28, numVisits=7, meanQ=-58.142857, numObservations: 3
action 1, numVisits=7, meanQ=-58.142857, numObservations: 3
action 52, numVisits=8, meanQ=-67.251250, numObservations: 5
action 63, numVisits=6, meanQ=-84.333333, numObservations: 2
action 10, numVisits=5, meanQ=-121.000000, numObservations: 3
action 65, numVisits=6, meanQ=-142.653317, numObservations: 3
action 30, numVisits=4, meanQ=-203.252500, numObservations: 4
action 50, numVisits=3, meanQ=-267.666667, numObservations: 1
action 66, numVisits=3, meanQ=-267.666667, numObservations: 1
action 46, numVisits=3, meanQ=-267.666667, numObservations: 3
action 35, numVisits=3, meanQ=-267.666667, numObservations: 1
action 42, numVisits=3, meanQ=-267.666667, numObservations: 3
action 7, numVisits=3, meanQ=-267.666667, numObservations: 2
action 8, numVisits=3, meanQ=-267.666667, numObservations: 1
action 20, numVisits=3, meanQ=-267.666667, numObservations: 3
action 60, numVisits=3, meanQ=-304.003333, numObservations: 3
action 51, numVisits=2, meanQ=-451.000000, numObservations: 2
action 70, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 43, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 2, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 5, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 9, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 64, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 13, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 14, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 18, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 58, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 23, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 56, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 25, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 54, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 29, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 32, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 36, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 37, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 38, numVisits=1, meanQ=-1001.000000, numObservations: 1
action: 17
Next state: 1 0.170626 0.568624 0.829633 0.156267 0.320053 0.0364532 0.897189 0.809707 0.504212 0.550694 0.663148 0.622054 0.869846 0.641975 0.847136 0.538557 0.0500867 0.611704 0.0779764 0.864001 9.50309e-05 0.968729 0.401623 0.752827 0.353689 0.256818 0.454379 0.407172 0.156055 0.0304456 0.0301483 0.201593 0.618971 0.571072 0.851543 0.463028 0.3844 0.739152 0.585244 0.89731 0.352092 0.58962 0.261385 0.966842 0.543139 0.438155 0.456446 0.899647 0.846837 0.0233136 0.604566 0.773918 0.587721 0.563771 0.961284 0.0359248 0.175064 0.0392282 0.803493 0.315122 0.580957 0.961637 0.629819 0.040218 0.546647 0.870606 0.224824 0.808278 0.902357 0.640729 0.761163 0.170486 0.544086 0.825734 0.0676125 0.923722 0.760043 0.903646 0.334749 0.400021 0.140588 0.562873 0.517218 0.833538 0.832515 0.772612 0.211349 0.240249 0.389432 0.922484 0.474501 0.289302 0.392958 0.0721974 0.374137 0.0497314 0.990906 0.561066 0.530853 0.249507 0.921803 0.724326 0.368192 0.863669 0.348284 0.156096 0.658323 0.849666 0.199928 0.51394 0.248267 0.45974 0.9605 0.553595 0.46309 0.312313 0.0308899 0.0484116 0.593315 0.928463 0.0845131 0.0720992 0.797798 0.104788 0.778795 0.447112 0.856393 0.346516 0.339588 0.379721 0.6352 0.542072 0.22025 0.812138 0.232099 0.636997 0.120208 0.568872 0.672791 0.313378 w: 1
Observation: 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Immediate reward: 99
Terminal state reached!
Updated belief
Run finished 
Discounted reward: 96.01
Run # 2
