Run # 1
Initial state: 0 0.795091 0.192187 0.092398 0.372004 0.262568 0.976004 0.0179575 0.626161 0.396516 0.709337 0.390957 0.908977 0.0458368 0.305158 0.806773 0.719121 0.153384 0.0825236 0.338286 0.418079 0.70761 0.544813 0.902083 0.0181782 0.4347 0.7878 0.310997 0.608058 0.868237 0.357713 0.618654 0.0946038 0.243683 0.764487 0.262456 0.993216 0.204501 0.984116 0.0222872 0.6142 0.634592 0.733238 0.511974 0.112633 0.386008 0.852804 0.541193 0.0234135 0.534667 0.30278 0.761822 0.684064 0.599603 0.425285 0.591988 0.408619 0.888141 0.127189 0.812438 0.146461 0.23399 0.62696 0.956549 0.905309 0.441717 0.170845 0.887516 0.876837 0.930436 0.606164 0.443368 0.168476 0.010145 0.504614 0.69232 0.514406 0.657437 0.928663 0.28546 0.265277 0.900299 0.366573 0.831121 0.565405 0.762925 0.209649 0.761662 0.616125 0.817242 0.564948 0.191192 0.858938 0.120323 0.125736 0.604654 0.841771 0.264505 0.0978832 0.492181 0.430735 0.671192 0.99703 0.156987 0.444789 0.164274 0.117329 0.786896 0.694097 0.213867 0.0916762 0.670409 0.670732 0.697787 0.619836 0.208556 0.384014 0.506531 0.434398 0.991617 0.315956 0.420682 0.191985 0.149677 0.912371 0.951298 0.466148 0.235161 0.48665 0.664846 0.519777 0.28172 0.97698 0.0648584 0.88183 0.0889956 0.443701 0.284221 0.213812 0.10496 0.548946 0.931358 0.742597 0.637673 0.736809 0.0504232 0.893524 0.310163 0.880226 0.48617 0.549145 0.511809 0.94537 0.262706 0.497349 0.267324 0.756441 0.767264 0.123215 0.992714 0.90729 0.173951 0.983605 0.783378 0.0958165 0.292312 0.573497 0.0011448 0.89142 0.288976 0.240996 0.853402 0.33779 0.505163 0.493977 0.673003 0.536607 0.697247 0.193748 0.226535 0.310898 w: 1

t = 0
Improving policy...
PLANNING FROM:
action 52, numVisits=0, meanQ=-inf, numObservations: 0
action 51, numVisits=0, meanQ=-inf, numObservations: 0
action 50, numVisits=0, meanQ=-inf, numObservations: 0
action 49, numVisits=0, meanQ=-inf, numObservations: 0
action 48, numVisits=0, meanQ=-inf, numObservations: 0
action 47, numVisits=0, meanQ=-inf, numObservations: 0
action 46, numVisits=0, meanQ=-inf, numObservations: 0
action 79, numVisits=0, meanQ=-inf, numObservations: 0
action 90, numVisits=0, meanQ=-inf, numObservations: 0
action 89, numVisits=0, meanQ=-inf, numObservations: 0
action 88, numVisits=0, meanQ=-inf, numObservations: 0
action 87, numVisits=0, meanQ=-inf, numObservations: 0
action 86, numVisits=0, meanQ=-inf, numObservations: 0
action 85, numVisits=0, meanQ=-inf, numObservations: 0
action 84, numVisits=0, meanQ=-inf, numObservations: 0
action 83, numVisits=0, meanQ=-inf, numObservations: 0
action 82, numVisits=0, meanQ=-inf, numObservations: 0
action 81, numVisits=0, meanQ=-inf, numObservations: 0
action 80, numVisits=0, meanQ=-inf, numObservations: 0
action 45, numVisits=0, meanQ=-inf, numObservations: 0
action 78, numVisits=0, meanQ=-inf, numObservations: 0
action 77, numVisits=0, meanQ=-inf, numObservations: 0
action 76, numVisits=0, meanQ=-inf, numObservations: 0
action 75, numVisits=0, meanQ=-inf, numObservations: 0
action 74, numVisits=0, meanQ=-inf, numObservations: 0
action 73, numVisits=0, meanQ=-inf, numObservations: 0
action 72, numVisits=0, meanQ=-inf, numObservations: 0
action 71, numVisits=0, meanQ=-inf, numObservations: 0
action 70, numVisits=0, meanQ=-inf, numObservations: 0
action 69, numVisits=0, meanQ=-inf, numObservations: 0
action 10, numVisits=0, meanQ=-inf, numObservations: 0
action 21, numVisits=0, meanQ=-inf, numObservations: 0
action 20, numVisits=0, meanQ=-inf, numObservations: 0
action 19, numVisits=0, meanQ=-inf, numObservations: 0
action 18, numVisits=0, meanQ=-inf, numObservations: 0
action 17, numVisits=0, meanQ=-inf, numObservations: 0
action 16, numVisits=0, meanQ=-inf, numObservations: 0
action 15, numVisits=0, meanQ=-inf, numObservations: 0
action 14, numVisits=0, meanQ=-inf, numObservations: 0
action 13, numVisits=0, meanQ=-inf, numObservations: 0
action 12, numVisits=0, meanQ=-inf, numObservations: 0
action 11, numVisits=0, meanQ=-inf, numObservations: 0
action 22, numVisits=0, meanQ=-inf, numObservations: 0
action 9, numVisits=0, meanQ=-inf, numObservations: 0
action 8, numVisits=0, meanQ=-inf, numObservations: 0
action 7, numVisits=0, meanQ=-inf, numObservations: 0
action 6, numVisits=0, meanQ=-inf, numObservations: 0
action 5, numVisits=0, meanQ=-inf, numObservations: 0
action 4, numVisits=0, meanQ=-inf, numObservations: 0
action 3, numVisits=0, meanQ=-inf, numObservations: 0
action 2, numVisits=0, meanQ=-inf, numObservations: 0
action 1, numVisits=0, meanQ=-inf, numObservations: 0
action 0, numVisits=0, meanQ=-inf, numObservations: 0
action 33, numVisits=0, meanQ=-inf, numObservations: 0
action 44, numVisits=0, meanQ=-inf, numObservations: 0
action 43, numVisits=0, meanQ=-inf, numObservations: 0
action 42, numVisits=0, meanQ=-inf, numObservations: 0
action 41, numVisits=0, meanQ=-inf, numObservations: 0
action 40, numVisits=0, meanQ=-inf, numObservations: 0
action 39, numVisits=0, meanQ=-inf, numObservations: 0
action 38, numVisits=0, meanQ=-inf, numObservations: 0
action 37, numVisits=0, meanQ=-inf, numObservations: 0
action 36, numVisits=0, meanQ=-inf, numObservations: 0
action 35, numVisits=0, meanQ=-inf, numObservations: 0
action 34, numVisits=0, meanQ=-inf, numObservations: 0
action -1, numVisits=0, meanQ=-inf, numObservations: 0
action 32, numVisits=0, meanQ=-inf, numObservations: 0
action 31, numVisits=0, meanQ=-inf, numObservations: 0
action 30, numVisits=0, meanQ=-inf, numObservations: 0
